Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzDelta -25,209500008,594.08,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2696.65,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.75
SprintzDelta -26,209615388,603.33,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2693.78,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.81
SprintzDelta -27,209722210,620.16,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2757.49,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.86
SprintzDelta -28,209374996,633.09,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2830.87,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -29,209482756,611.54,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,3093.31,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.74
SprintzDelta -30,209583326,636.51,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2977.57,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.79
SprintzDelta -31,209677408,639.06,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,3066.1,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.84
SprintzDelta -32,209375008,610.47,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,3233.01,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -33,209469683,585.93,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2437.11,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.73
SprintzDelta -34,209558830,598.72,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2489.9,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.78
SprintzDelta -35,209642842,591.32,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2606.43,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.82
SprintzDelta -36,209375002,633.97,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2619.03,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -37,209459444,623.54,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2682.27,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.73
SprintzDelta -38,209539471,629.51,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2826.04,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.77
SprintzDelta -39,209615368,637.55,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2685.45,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.81
SprintzDelta -40,209375008,648.67,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2917.8,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -41,209451226,616.96,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2773.34,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.73
SprintzDelta -42,209523816,630.1,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,3006.55,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.76
SprintzDelta -43,209593009,620.95,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2831.06,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.8
